Testfile,cuda-total,cuda-PASSED,cuda-Skipped,cuda-Failed,stock_xpu-total,stock_xpu-PASSED,stock_xpu-Skipped,stock_xpu-Failed
test/TEST-TestDeviceBackendAutoload.py,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
test/backends/xeon/test_launch.py,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
test/benchmark_utils/test_benchmark_utils.py,9.0,5.0,4.0,0.0,9.0,5.0,4.0,0.0
test/cpp_extensions/libtorch_agnostic_extension/test/test_libtorch_agnostic.py,26.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0
test/cpp_extensions/python_agnostic_extension/test/test_python_agnostic.py,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
test/cpp_extensions/torch_stable_test_extension/torch_stable_test/test_torch_stable.py,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
test/distributed/_composable/fsdp/test_fully_shard_autograd.py,5.0,5.0,0.0,0.0,,,,
test/distributed/_composable/fsdp/test_fully_shard_clip_grad_norm_.py,2.0,2.0,0.0,0.0,,,,
test/distributed/_composable/fsdp/test_fully_shard_comm.py,22.0,22.0,0.0,0.0,,,,
test/distributed/_composable/fsdp/test_fully_shard_compile.py,18.0,14.0,4.0,0.0,,,,
test/distributed/_composable/fsdp/test_fully_shard_extensions.py,5.0,5.0,0.0,0.0,,,,
test/distributed/_composable/fsdp/test_fully_shard_frozen.py,3.0,3.0,0.0,0.0,,,,
test/distributed/_composable/fsdp/test_fully_shard_grad_scaler.py,1.0,1.0,0.0,0.0,,,,
test/distributed/_composable/fsdp/test_fully_shard_ignore_params.py,1.0,1.0,0.0,0.0,,,,
test/distributed/_composable/fsdp/test_fully_shard_init.py,42.0,42.0,0.0,0.0,,,,
test/distributed/_composable/fsdp/test_fully_shard_logging.py,0.0,0.0,0.0,0.0,,,,
test/distributed/_composable/fsdp/test_fully_shard_memory.py,2.0,2.0,0.0,0.0,,,,
test/distributed/_composable/fsdp/test_fully_shard_mixed_precision.py,9.0,9.0,0.0,0.0,,,,
test/distributed/_composable/fsdp/test_fully_shard_overlap.py,2.0,1.0,1.0,0.0,,,,
test/distributed/_composable/fsdp/test_fully_shard_state.py,5.0,5.0,0.0,0.0,,,,
test/distributed/_composable/fsdp/test_fully_shard_state_dict.py,7.0,7.0,0.0,0.0,,,,
test/distributed/_composable/fsdp/test_fully_shard_training.py,25.0,24.0,1.0,0.0,,,,
test/distributed/_composable/test_checkpoint.py,6.0,6.0,0.0,0.0,,,,
test/distributed/_composable/test_composability/test_2d_composability.py,18.0,17.0,1.0,0.0,,,,
test/distributed/_composable/test_composability/test_pp_composability.py,26.0,26.0,0.0,0.0,,,,
test/distributed/_composable/test_contract.py,5.0,5.0,0.0,0.0,,,,
test/distributed/_composable/test_replicate.py,17.0,17.0,0.0,0.0,,,,
test/distributed/_composable/test_replicate_mixed_precision.py,9.0,9.0,0.0,0.0,,,,
test/distributed/_composable/test_replicate_training.py,17.0,17.0,0.0,0.0,,,,
test/distributed/_composable/test_replicate_with_compiler.py,10.0,8.0,2.0,0.0,,,,
test/distributed/_composable/test_replicate_with_fsdp.py,5.0,5.0,0.0,0.0,,,,
test/distributed/_pycute/test_coalesce.py,1.0,1.0,0.0,0.0,,,,
test/distributed/_pycute/test_complement.py,1.0,1.0,0.0,0.0,,,,
test/distributed/_pycute/test_composition.py,1.0,1.0,0.0,0.0,,,,
test/distributed/_pycute/test_int_tuple.py,12.0,12.0,0.0,0.0,,,,
test/distributed/_pycute/test_left_inverse.py,1.0,1.0,0.0,0.0,,,,
test/distributed/_pycute/test_right_inverse.py,1.0,1.0,0.0,0.0,,,,
test/distributed/_pycute/test_typing.py,1.0,1.0,0.0,0.0,,,,
test/distributed/_shard/sharded_optim/test_sharded_optim.py,2.0,2.0,0.0,0.0,,,,
test/distributed/_shard/sharded_tensor/ops/test_binary_cmp.py,4.0,4.0,0.0,0.0,,,,
test/distributed/_shard/sharded_tensor/ops/test_embedding.py,2.0,2.0,0.0,0.0,,,,
test/distributed/_shard/sharded_tensor/ops/test_embedding_bag.py,2.0,2.0,0.0,0.0,,,,
test/distributed/_shard/sharded_tensor/ops/test_init.py,3.0,3.0,0.0,0.0,,,,
test/distributed/_shard/sharded_tensor/ops/test_tensor_ops.py,5.0,5.0,0.0,0.0,,,,
test/distributed/_shard/sharded_tensor/test_logger.py,1.0,1.0,0.0,0.0,,,,
test/distributed/_shard/sharded_tensor/test_sharded_tensor.py,74.0,74.0,0.0,0.0,,,,
test/distributed/_shard/sharded_tensor/test_sharded_tensor_reshard.py,2.0,2.0,0.0,0.0,,,,
test/distributed/_shard/sharding_plan/test_sharding_plan.py,3.0,3.0,0.0,0.0,,,,
test/distributed/_shard/sharding_spec/test_sharding_spec.py,11.0,11.0,0.0,0.0,,,,
test/distributed/_shard/test_sharder.py,2.0,2.0,0.0,0.0,,,,
test/distributed/_tools/test_fake_collectives.py,1.0,1.0,0.0,0.0,,,,
test/distributed/_tools/test_fsdp2_mem_tracker.py,3.0,3.0,0.0,0.0,,,,
test/distributed/_tools/test_mem_tracker.py,3.0,3.0,0.0,0.0,,,,
test/distributed/_tools/test_memory_tracker.py,1.0,1.0,0.0,0.0,,,,
test/distributed/_tools/test_mod_tracker.py,4.0,4.0,0.0,0.0,,,,
test/distributed/_tools/test_runtime_estimator.py,2.0,2.0,0.0,0.0,,,,
test/distributed/_tools/test_sac_estimator.py,2.0,2.0,0.0,0.0,,,,
test/distributed/_tools/test_sac_ilp.py,4.0,4.0,0.0,0.0,,,,
test/distributed/algorithms/ddp_comm_hooks/test_ddp_hooks.py,6.0,6.0,0.0,0.0,,,,
test/distributed/algorithms/quantization/test_quantization.py,6.0,6.0,0.0,0.0,,,,
test/distributed/algorithms/test_join.py,9.0,9.0,0.0,0.0,,,,
test/distributed/checkpoint/_experimental/test_barriers.py,2.0,2.0,0.0,0.0,,,,
test/distributed/checkpoint/_experimental/test_builder.py,4.0,4.0,0.0,0.0,,,,
test/distributed/checkpoint/_experimental/test_checkpoint_process.py,15.0,15.0,0.0,0.0,,,,
test/distributed/checkpoint/_experimental/test_checkpoint_reader.py,7.0,7.0,0.0,0.0,,,,
test/distributed/checkpoint/_experimental/test_checkpoint_writer.py,8.0,8.0,0.0,0.0,,,,
test/distributed/checkpoint/_experimental/test_checkpointer.py,11.0,11.0,0.0,0.0,,,,
test/distributed/checkpoint/_experimental/test_staging.py,7.0,6.0,1.0,0.0,,,,
test/distributed/checkpoint/_experimental/test_types.py,3.0,3.0,0.0,0.0,,,,
test/distributed/checkpoint/e2e/test_e2e_save_and_load.py,19.0,19.0,0.0,0.0,,,,
test/distributed/checkpoint/e2e/test_fine_tuning.py,1.0,1.0,0.0,0.0,,,,
test/distributed/checkpoint/e2e/test_fsdp_ep.py,1.0,1.0,0.0,0.0,,,,
test/distributed/checkpoint/fsdp/test_fsdp_dsd.py,6.0,6.0,0.0,0.0,,,,
